,train_loss,test_loss,epoch,fold,iter
0,1.1813981533050537,1.1609599590301514,0,0,0
0,1.1581634283065796,1.1577484607696533,1,0,0
0,1.1505094766616821,1.1479867696762085,2,0,0
0,1.145537257194519,1.1419949531555176,3,0,0
0,1.1390680074691772,1.1383463144302368,4,0,0
0,1.1329859495162964,1.1362632513046265,5,0,0
0,1.1284583806991577,1.1334419250488281,6,0,0
0,1.1227160692214966,1.1297510862350464,7,0,0
0,1.1166099309921265,1.1243776082992554,8,0,0
0,1.1111520528793335,1.1219669580459595,9,0,0
0,1.105188250541687,1.125881314277649,10,0,0
0,1.1015831232070923,1.1259039640426636,11,0,0
0,1.0972448587417603,1.126316785812378,12,0,0
0,1.09329354763031,1.1322370767593384,13,0,0
0,1.088425636291504,1.126170039176941,14,0,0
0,1.1806284189224243,1.160673975944519,0,1,0
0,1.158425211906433,1.153667688369751,1,1,0
0,1.1514840126037598,1.1476974487304688,2,1,0
0,1.1453243494033813,1.1427513360977173,3,1,0
0,1.1390433311462402,1.138139009475708,4,1,0
0,1.1332817077636719,1.1344420909881592,5,1,0
0,1.1278553009033203,1.1293541193008423,6,1,0
0,1.1224161386489868,1.124514102935791,7,1,0
0,1.1161407232284546,1.1223338842391968,8,1,0
0,1.1106324195861816,1.1207342147827148,9,1,0
0,1.1058759689331055,1.1201038360595703,10,1,0
0,1.1008377075195312,1.1173549890518188,11,1,0
0,1.0971077680587769,1.1210321187973022,12,1,0
0,1.093113899230957,1.119322657585144,13,1,0
0,1.0874143838882446,1.121350646018982,14,1,0
0,1.083113431930542,1.1246845722198486,15,1,0
0,1.0775232315063477,1.1257376670837402,16,1,0
0,1.1813255548477173,1.1596328020095825,0,2,0
0,1.1576591730117798,1.1541075706481934,1,2,0
0,1.1534579992294312,1.1477376222610474,2,2,0
0,1.1453207731246948,1.14212167263031,3,2,0
0,1.1394907236099243,1.139649510383606,4,2,0
0,1.1339064836502075,1.1344306468963623,5,2,0
0,1.127905249595642,1.1312625408172607,6,2,0
0,1.1218976974487305,1.1277554035186768,7,2,0
0,1.1166818141937256,1.1246293783187866,8,2,0
0,1.1109181642532349,1.1243298053741455,9,2,0
0,1.1060830354690552,1.124038815498352,10,2,0
0,1.101150393486023,1.1206529140472412,11,2,0
0,1.0964914560317993,1.1246943473815918,12,2,0
0,1.0928303003311157,1.1284635066986084,13,2,0
0,1.0881285667419434,1.1225780248641968,14,2,0
0,1.0825269222259521,1.1277849674224854,15,2,0
0,1.0765289068222046,1.1353765726089478,16,2,0
0,1.1808468103408813,1.162177562713623,0,3,0
0,1.156396508216858,1.1574252843856812,1,3,0
0,1.1495509147644043,1.149328351020813,2,3,0
0,1.1435495615005493,1.1442129611968994,3,3,0
0,1.1380257606506348,1.1392254829406738,4,3,0
0,1.1323539018630981,1.135293960571289,5,3,0
0,1.127477765083313,1.13025963306427,6,3,0
0,1.1207646131515503,1.1271460056304932,7,3,0
0,1.11589515209198,1.1242181062698364,8,3,0
0,1.110507607460022,1.1229441165924072,9,3,0
0,1.1053837537765503,1.1236053705215454,10,3,0
0,1.10033118724823,1.1220730543136597,11,3,0
0,1.0966618061065674,1.1213229894638062,12,3,0
0,1.0915827751159668,1.1223068237304688,13,3,0
0,1.0873876810073853,1.1288038492202759,14,3,0
0,1.0822819471359253,1.125510334968567,15,3,0
0,1.0761810541152954,1.1332036256790161,16,3,0
0,1.0718430280685425,1.131412148475647,17,3,0
0,1.18060302734375,1.1613210439682007,0,4,0
0,1.1574451923370361,1.157750129699707,1,4,0
0,1.1512048244476318,1.148612141609192,2,4,0
0,1.1452332735061646,1.143182635307312,3,4,0
0,1.1385362148284912,1.1406044960021973,4,4,0
0,1.1327024698257446,1.1353708505630493,5,4,0
0,1.1274899244308472,1.131805658340454,6,4,0
0,1.1223413944244385,1.1289451122283936,7,4,0
0,1.1153908967971802,1.1250696182250977,8,4,0
0,1.1098051071166992,1.1230177879333496,9,4,0
0,1.1059201955795288,1.1222769021987915,10,4,0
0,1.1022287607192993,1.1236075162887573,11,4,0
0,1.0964347124099731,1.120471477508545,12,4,0
0,1.0920385122299194,1.1212425231933594,13,4,0
0,1.087208867073059,1.1242772340774536,14,4,0
0,1.0814446210861206,1.1241437196731567,15,4,0
0,1.0767544507980347,1.1276731491088867,16,4,0
0,1.0700384378433228,1.140054702758789,17,4,0
0,1.1811202764511108,1.1608736515045166,0,0,1
0,1.158522129058838,1.1572765111923218,1,0,1
0,1.151654839515686,1.1491856575012207,2,0,1
0,1.1460713148117065,1.1458051204681396,3,0,1
0,1.1387863159179688,1.1450916528701782,4,0,1
0,1.1332731246948242,1.140840768814087,5,0,1
0,1.1286121606826782,1.136823058128357,6,0,1
0,1.121709942817688,1.1325212717056274,7,0,1
0,1.1163506507873535,1.1291788816452026,8,0,1
0,1.1102248430252075,1.129258394241333,9,0,1
0,1.104629635810852,1.1298459768295288,10,0,1
0,1.099686622619629,1.1322379112243652,11,0,1
0,1.0959328413009644,1.1341990232467651,12,0,1
0,1.0915862321853638,1.1364563703536987,13,0,1
0,1.181296706199646,1.1605485677719116,0,1,1
0,1.1578463315963745,1.1546448469161987,1,1,1
0,1.149471402168274,1.148650050163269,2,1,1
0,1.143980622291565,1.1451960802078247,3,1,1
