,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter,n_features
0,nec_any,7.81841439034056e-18,0.5778631729734972,0.13079167801116692,0.6163232416031494,0.19783410094054343,0,28
0,rop_any,3.066600695813795e-105,0.6220732221018419,0.5228078350288066,0.6330424505072392,0.5578258004423915,0,28
0,bpd_any,2.1199515424430314e-122,0.6409064791300054,0.4180311989616403,0.6545953541908738,0.4688484999223007,0,28
0,ivh_any,2.938960341773144e-129,0.6444886919751613,0.44855123288303195,0.6724593124440351,0.5373367669230036,0,28
0,nec_any,6.51644570761908e-16,0.5731294760546009,0.12924364632960633,0.6131361859996781,0.19724688628894613,1,28
0,rop_any,1.345889493852494e-102,0.6205017551462622,0.5175873975825354,0.6319360770502573,0.5530782413256274,1,28
0,bpd_any,6.086358886371777e-125,0.6423859549359683,0.417677625927477,0.6562243047152817,0.46813001445398966,1,28
0,ivh_any,2.9629428179234023e-134,0.6472977980712721,0.4513445105383624,0.6756602108089172,0.5395949884381435,1,28
0,nec_any,2.838463797841385e-19,0.5812355955550343,0.13414152100594187,0.6214547576994343,0.2050306564594147,2,28
0,rop_any,3.232267233186609e-110,0.6249798136511376,0.5231037698084952,0.6363937197767363,0.5584744382669674,2,28
0,bpd_any,3.1876605727918996e-125,0.6425484970430289,0.42009624512048555,0.6567207452397247,0.46969664795875155,2,28
0,ivh_any,2.36137681929895e-136,0.6484618472822602,0.4533583569721662,0.677266734966928,0.5423950455042698,2,28
0,nec_any,1.6189263822902206e-17,0.5771036370861617,0.13480301915015463,0.6166927123096032,0.2059492056747459,3,28
0,rop_any,5.999183269083924e-108,0.6236634279523293,0.5211689482414268,0.6347411401670939,0.5561545229948143,3,28
0,bpd_any,4.079824093483612e-127,0.6436390561490588,0.4238505089385076,0.6568836379819578,0.473486766832937,3,28
0,ivh_any,1.1756495329494825e-136,0.6486291054703457,0.45135915519851355,0.6772663341437977,0.5420011636651756,3,28
0,nec_any,2.671022388081515e-13,0.5661667546134035,0.12422432683127135,0.6055020700676369,0.18994470116057827,4,28
0,rop_any,1.2278101369879184e-111,0.6257970270855905,0.5230237574071634,0.6370981841896651,0.5585410934889043,4,28
0,bpd_any,4.413788198736835e-129,0.644763006992935,0.4206574997854234,0.6589334621381915,0.4718863869523252,4,28
0,ivh_any,1.6135759823021277e-134,0.6474447031308037,0.4515384706905425,0.6770410464930782,0.5425337247078089,4,28
