,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter,n_features
0,nec_any,8.897416486438157e-13,0.5646872679183333,0.12854500073648623,0.611417663614267,0.1983816232295104,0,33
0,rop_any,1.398489665103219e-114,0.6274739414951246,0.5286482521724403,0.6375853901329083,0.5618405535632931,0,33
0,bpd_any,9.34734332412938e-136,0.6485156560509989,0.42507985893937006,0.6630840967337545,0.4771526039463784,0,33
0,ivh_any,1.972643913427112e-142,0.6517831113876877,0.45859691871581687,0.6821077264269906,0.5489204542320897,0,33
0,nec_any,2.8883598727643325e-14,0.5688207193102081,0.12889478629122475,0.6143974803258461,0.20042560218269634,1,33
0,rop_any,5.42223965820981e-113,0.6265717009750812,0.5251942366435352,0.6368749013874133,0.5590902439655168,1,33
0,bpd_any,3.489015984409205e-134,0.647640321153258,0.42409687505154015,0.6611121496777999,0.47420947738813535,1,33
0,ivh_any,1.6673972103119583e-137,0.6490965181215351,0.4542832408511251,0.6788197742884787,0.5437283821548667,1,33
0,nec_any,1.2040844910507939e-16,0.5749710191977231,0.1322982589219978,0.6177485087053229,0.20332893462924795,2,33
0,rop_any,5.987401346705946e-113,0.6265471549295774,0.5278445311139573,0.636778932813392,0.5613909223404582,2,33
0,bpd_any,1.4720261300094013e-136,0.6489606811692701,0.42559087712763044,0.6621034135813226,0.4765982923182182,2,33
0,ivh_any,3.8683208389022175e-142,0.651624955954096,0.45793784028474993,0.6816149895425245,0.5483971646666161,2,33
0,nec_any,1.272777564859699e-16,0.5749112117974575,0.13075378629273587,0.6214202608708213,0.20455247938049811,3,33
0,rop_any,2.4953901215586228e-113,0.6267636663055255,0.5278046675547046,0.6373748636158044,0.5617695139307542,3,33
0,bpd_any,3.4165569598078354e-134,0.6476454111156699,0.4266546305502066,0.6623595694068625,0.47909574506965913,3,33
0,ivh_any,2.342658410876921e-140,0.6506576602201037,0.4599798115374666,0.681392908476848,0.5518593206414941,3,33
0,nec_any,4.708134501571598e-14,0.5682463058751316,0.1308220802518676,0.6151609886391305,0.20375584478923742,4,33
0,rop_any,7.820582440304093e-113,0.6264810054171182,0.5283266914039906,0.636857746383249,0.5616381815189668,4,33
0,bpd_any,6.5066032255380794e-133,0.6469289939548675,0.42442073005607844,0.6611335884049014,0.47570830303701056,4,33
0,ivh_any,5.889037726780907e-141,0.6509838225531894,0.45793761463610205,0.6810791892229884,0.5489979854334426,4,33
