,bottleneck_unit_0,epoch
87,0.0,0
118,0.0,0
165,0.0,0
199,0.0019388316,0
306,0.0,0
368,0.0,0
410,0.0,0
464,0.035835262,0
484,0.0,0
497,0.0,0
560,0.0,0
718,0.0,0
730,0.0,0
737,0.0,0
756,0.20130582,0
757,0.0,0
782,0.18855527,0
835,0.1837405,0
845,0.026238753,0
857,0.0,0
975,0.0,0
1016,0.0,0
1061,0.0,0
1073,0.08371866,0
1097,0.04062347,0
1205,0.079318956,0
1217,0.0,0
1267,0.0,0
1320,0.0,0
1340,0.24518594,0
1416,0.15099779,0
1493,0.0,0
1501,0.0,0
1551,0.0,0
1562,0.0,0
1620,0.0,0
1639,0.0,0
1681,0.0,0
1728,0.0,0
1747,0.13205078,0
1827,0.0,0
2059,0.0,0
2070,0.25153592,0
2152,0.0,0
2166,0.0,0
2220,0.0,0
2233,0.10379566,0
2249,0.0,0
2304,0.0,0
2305,0.0,0
2308,0.0,0
2345,0.0,0
2388,0.0,0
2423,0.40383834,0
2476,0.0,0
2480,0.0,0
2488,0.0,0
2532,0.0,0
2578,0.0,0
2621,0.0,0
2625,0.0,0
2657,0.0,0
2712,0.0,0
2739,0.0,0
2767,0.048702482,0
2787,0.0,0
2831,0.0,0
2836,0.0,0
2852,0.0,0
2871,0.06306761,0
2965,0.22497594,0
2967,0.0,0
3017,0.02048457,0
3024,0.0,0
3029,0.0,0
3064,0.0,0
3095,0.0,0
3099,0.0,0
3202,0.0,0
3215,0.0,0
3257,0.0,0
3259,0.0,0
3266,0.0,0
3270,0.0,0
3278,0.0,0
3288,0.0,0
3340,0.0,0
3351,0.0,0
3377,0.0,0
3442,0.0,0
3516,0.08506966,0
3529,0.0,0
3541,0.0,0
3559,0.0,0
3693,0.097014084,0
3697,0.0,0
3781,0.0,0
3783,0.0,0
3850,0.0,0
3856,0.10923798,0
3881,0.0,0
3911,0.17476358,0
3912,0.4080225,0
3926,0.0,0
3977,0.0,0
4045,0.0,0
4050,0.23562682,0
4102,0.0,0
4108,0.0,0
4206,0.0,0
4209,0.18582594,0
4250,0.0,0
4386,0.0,0
4431,0.23489265,0
4451,0.0,0
4464,0.16137557,0
4679,0.0,0
4788,0.0,0
4792,0.0,0
4827,0.0,0
4858,0.0,0
4879,0.0,0
4953,0.0,0
4996,0.018566292,0
5009,0.0,0
5016,0.0,0
5117,0.21246992,0
5175,0.0,0
5193,0.0,0
5199,0.0,0
5205,0.0,0
5214,0.016676562,0
5243,0.0,0
5261,0.30726814,0
5272,0.0,0
5279,0.0,0
5380,0.0,0
5428,0.0,0
5566,0.0,0
