,train_loss,test_loss,epoch,fold,iter
0,1.175143837928772,1.1589512825012207,0,0,0
0,1.1550171375274658,1.1553161144256592,1,0,0
0,1.1499719619750977,1.1481658220291138,2,0,0
0,1.1438065767288208,1.1451079845428467,3,0,0
0,1.1384861469268799,1.1388897895812988,4,0,0
0,1.1306347846984863,1.1344784498214722,5,0,0
0,1.1260085105895996,1.1309010982513428,6,0,0
0,1.1197785139083862,1.1268930435180664,7,0,0
0,1.1153219938278198,1.1234828233718872,8,0,0
0,1.1095467805862427,1.1208648681640625,9,0,0
0,1.104902744293213,1.1193472146987915,10,0,0
0,1.0993903875350952,1.1191366910934448,11,0,0
0,1.094436526298523,1.1218668222427368,12,0,0
0,1.0894469022750854,1.1220062971115112,13,0,0
0,1.0845615863800049,1.1258294582366943,14,0,0
0,1.0794159173965454,1.1264489889144897,15,0,0
0,1.0735362768173218,1.1312183141708374,16,0,0
0,1.1757688522338867,1.1589231491088867,0,1,0
0,1.15618896484375,1.1568779945373535,1,1,0
0,1.150307536125183,1.148105263710022,2,1,0
0,1.1438446044921875,1.1421411037445068,3,1,0
0,1.1365035772323608,1.1413551568984985,4,1,0
0,1.130644679069519,1.140319585800171,5,1,0
0,1.1250079870224,1.1329599618911743,6,1,0
0,1.1183794736862183,1.1285654306411743,7,1,0
0,1.113247036933899,1.1284027099609375,8,1,0
0,1.1069889068603516,1.1285172700881958,9,1,0
0,1.1011757850646973,1.1326966285705566,10,1,0
0,1.0962899923324585,1.1346867084503174,11,1,0
0,1.0912607908248901,1.137168288230896,12,1,0
0,1.0863717794418335,1.1384130716323853,13,1,0
0,1.174891471862793,1.1584140062332153,0,2,0
0,1.1549745798110962,1.155601978302002,1,2,0
0,1.1508630514144897,1.1463420391082764,2,2,0
0,1.1440297365188599,1.1396316289901733,3,2,0
0,1.1379220485687256,1.1324334144592285,4,2,0
0,1.1331287622451782,1.1270188093185425,5,2,0
0,1.1261218786239624,1.1217607259750366,6,2,0
0,1.1210967302322388,1.1187701225280762,7,2,0
0,1.1157504320144653,1.1135694980621338,8,2,0
0,1.1098945140838623,1.1128742694854736,9,2,0
0,1.1052137613296509,1.1110999584197998,10,2,0
0,1.0997933149337769,1.110676646232605,11,2,0
0,1.095772624015808,1.1111571788787842,12,2,0
0,1.0910601615905762,1.114586353302002,13,2,0
0,1.0843626260757446,1.1200292110443115,14,2,0
0,1.080539345741272,1.1189111471176147,15,2,0
0,1.0731873512268066,1.128724217414856,16,2,0
0,1.1751880645751953,1.158628225326538,0,3,0
0,1.1554218530654907,1.15399169921875,1,3,0
0,1.1498078107833862,1.1477688550949097,2,3,0
0,1.1428776979446411,1.1440541744232178,3,3,0
0,1.1368154287338257,1.1403391361236572,4,3,0
0,1.1303688287734985,1.1383036375045776,5,3,0
0,1.1243387460708618,1.1349190473556519,6,3,0
0,1.1181937456130981,1.1334043741226196,7,3,0
0,1.1138105392456055,1.132096767425537,8,3,0
0,1.1091011762619019,1.1296578645706177,9,3,0
0,1.105251431465149,1.1249338388442993,10,3,0
0,1.1008683443069458,1.1234734058380127,11,3,0
0,1.0957812070846558,1.1253254413604736,12,3,0
0,1.0909029245376587,1.1259583234786987,13,3,0
0,1.085793137550354,1.1226404905319214,14,3,0
0,1.0808844566345215,1.1270747184753418,15,3,0
0,1.0757322311401367,1.1273301839828491,16,3,0
0,1.0707025527954102,1.1295738220214844,17,3,0
0,1.0687427520751953,1.1301828622817993,18,3,0
0,1.0622423887252808,1.1540035009384155,19,3,0
0,1.1748746633529663,1.1587634086608887,0,4,0
0,1.1556044816970825,1.155339241027832,1,4,0
0,1.1501895189285278,1.1476460695266724,2,4,0
0,1.144410490989685,1.1429831981658936,3,4,0
0,1.1386933326721191,1.1377376317977905,4,4,0
0,1.1325100660324097,1.13392174243927,5,4,0
0,1.1259461641311646,1.130354642868042,6,4,0
0,1.1189543008804321,1.1288820505142212,7,4,0
0,1.1152173280715942,1.1325949430465698,8,4,0
0,1.1097521781921387,1.1334575414657593,9,4,0
