,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,bpd_any,2.329724360867611e-70,0.6221174279706513,0.4068244754150572,0.6603457443674585,0.6238174541604671,0
0,nec_any,1.7710913473288201e-09,0.436707825560304,0.08611839456960424,0.3544132927765403,0.17892372635451356,0
0,rop_any,2.492532029190775e-91,0.6310866943001717,0.524970346526137,0.6618316236843862,0.6861530609887524,0
0,ivh_any,6.923919686285354e-05,0.4726854122410078,0.29558214999931576,0.39191868015397424,0.4190234159618845,0
0,bpd_any,2.0779226332601906e-89,0.6381131652089298,0.42215950134859254,0.6810159490478884,0.6452014716864262,1
0,nec_any,7.658193318218534e-10,0.43527132206427954,0.08696702521645863,0.35275219008479897,0.18016447434599153,1
0,rop_any,8.923807508375043e-98,0.6357795166206475,0.5318391973569002,0.6665411753362033,0.6945731592855116,1
0,ivh_any,2.894811931115378e-08,0.4619019368929408,0.292817441339134,0.38420198640786873,0.4183872887198976,1
0,bpd_any,4.3390432434758885e-70,0.6219106511721545,0.410869115934751,0.6645303073152339,0.6369966171358149,2
0,nec_any,2.4823357992891397e-08,0.4413509818825094,0.08896821604463433,0.36346149351828383,0.1841528753168578,2
0,rop_any,7.037651705597877e-85,0.6263054142599271,0.5313689308472633,0.6569173919094796,0.693021021919241,2
0,ivh_any,4.4754272062924996e-05,0.4719734050608466,0.29717116670139654,0.39504002224590457,0.42388409060721344,2
0,bpd_any,1.425112715812419e-82,0.6326162787446314,0.415313026920728,0.6759929858361613,0.6444708326623938,3
0,nec_any,1.7827458290156098e-07,0.44506584939200955,0.0877489830330791,0.3618426374859103,0.1810744550365877,3
0,rop_any,7.447674074818486e-92,0.6315262388289371,0.5296258719963047,0.6633748779990846,0.6948144025142835,3
0,ivh_any,0.00016558927673699254,0.47413287188386144,0.29787663517352325,0.3930414577473401,0.4206105568968349,3
0,bpd_any,5.888134345444591e-77,0.6279058850997674,0.4115478243717617,0.6676098669636124,0.6318501382289021,4
0,nec_any,1.8888461038529046e-07,0.4451836690963889,0.08786998936057354,0.3659237097241024,0.18231226973725137,4
0,rop_any,1.4302023681984708e-96,0.6349187727507304,0.5331315193177502,0.6607325792291504,0.6891103545936903,4
0,ivh_any,3.495849708716553e-05,0.47158028845686273,0.29856107302236456,0.3959078745843452,0.42450628217245173,4
0,bpd_any,3.2690153791683667e-75,0.6264016502997496,0.4122422764447353,0.6653975036529035,0.6302520225400665,5
0,nec_any,5.337672047464483e-06,0.4521198659350375,0.08985746699466125,0.37258182818373525,0.1852401444566767,5
0,rop_any,2.019668330004041e-94,0.633367479020351,0.5298715266971954,0.6601602602278979,0.6877810941257086,5
0,ivh_any,0.00019569337716655245,0.4744251564060848,0.2999472888757551,0.39832617038499396,0.4254402728580761,5
0,bpd_any,3.342679985565264e-69,0.6211244729218863,0.4052661064629753,0.6620246806655354,0.6226051628527554,6
0,nec_any,0.0003890191879680343,0.46267512533325855,0.09156328386932666,0.3830363033633734,0.18765187234205155,6
0,rop_any,8.202541886773557e-80,0.6223976734725566,0.5200166300144513,0.6509257671605168,0.6778610976961317,6
0,ivh_any,7.118578072483846e-06,0.4691650770186214,0.2944575787309821,0.3961576314517491,0.4218495857988056,6
0,bpd_any,4.598684892327204e-86,0.6354390826324267,0.4218842285717322,0.6778153133248491,0.6399315727561368,7
0,nec_any,1.646528535253403e-10,0.43275780785881074,0.08617234107614077,0.3509254714996845,0.17919363717725909,7
0,rop_any,2.229223007881579e-101,0.6382991279345286,0.528735586617044,0.6682161382832655,0.6909572619349396,7
0,ivh_any,0.001590451336922504,0.4783165175662477,0.3022122345208432,0.39600046879458645,0.42514513685412797,7
0,bpd_any,4.3238404759809994e-80,0.6305519011162312,0.4106160171856656,0.6775026071125565,0.6444775079943593,8
0,nec_any,1.8222253951142695e-07,0.4451121619124853,0.08779692790867624,0.3583271761074468,0.18015748123119946,8
0,rop_any,3.1202769300756924e-101,0.6382050895778553,0.5402148810994811,0.6699263871454992,0.7007489321015674,8
0,ivh_any,0.00018273448752332235,0.47430407454696766,0.29857980543068485,0.3901971703442292,0.41984482346620694,8
0,bpd_any,2.115296156427923e-80,0.6308047448214925,0.41265782510618143,0.6729911976809956,0.6367449210362621,9
0,nec_any,1.519984591330939e-10,0.4326287361688228,0.08546705520387883,0.3511396261080759,0.17824340357255702,9
0,rop_any,3.7118461327673135e-96,0.6346205324149599,0.5315113926275716,0.6645130260110095,0.6920300683139986,9
0,ivh_any,6.16032675801956e-05,0.47248673518015005,0.2970651215505213,0.3930089915384033,0.4214819458104162,9
