,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,bpd_any,2.2552274041972527e-131,0.6678207626834286,0.43597535971790924,0.7443622295673077,0.7109296403394143,0
0,nec_any,0.991612628438379,0.4998894370109769,0.10352286975869462,0.5051830808421288,0.2408165820244631,0
0,rop_any,3.1131127478848813e-121,0.651317705535628,0.5502302093117574,0.7158722481894563,0.7482080112682596,0
0,ivh_any,1.418930305230727e-91,0.6392159341781509,0.43735113781275425,0.7191953184600243,0.7026786581887835,0
0,bpd_any,7.026801988869583e-124,0.6628828306751074,0.42575918047865646,0.7418215468278657,0.7024833912258979,1
0,nec_any,0.9305648703730323,0.4990841862148174,0.10399530410859387,0.5042165761509518,0.2502276588580768,1
0,rop_any,1.7399124687445053e-121,0.6514727300790224,0.5378299619489253,0.7175627543912694,0.7425978344350364,1
0,ivh_any,1.4956296097179438e-92,0.6399678851729951,0.4401400693133092,0.7202824996942645,0.7001907937162355,1
0,bpd_any,1.1817367894348842e-127,0.6653785874865783,0.4350790728085052,0.7453193491940044,0.7150237374024475,2
0,nec_any,0.5871845892972565,0.505705653600937,0.1067503848691794,0.5076443981828543,0.24666029091479003,2
0,rop_any,8.182758660189274e-125,0.6535609057453861,0.5452759610239003,0.7208415085399549,0.751612688072927,2
0,ivh_any,5.7470766124538495e-92,0.6395098859204652,0.4341169620696571,0.7206209926798162,0.707578934654002,2
0,bpd_any,2.3593445455475217e-125,0.6638604417389944,0.43069105396944646,0.7401525529081825,0.7058988254844731,3
0,nec_any,0.2660038603323347,0.5116895900053667,0.10685383382106994,0.5381071608986494,0.2699880267754733,3
0,rop_any,1.9032332913212185e-119,0.6501711467259205,0.5409902646802563,0.7145670510922599,0.7432942186397579,3
0,ivh_any,6.132931008558203e-94,0.6410311547861026,0.43872093581761484,0.7211353564294739,0.7029274065247688,3
0,bpd_any,1.2518874986308199e-130,0.6673543964186651,0.4310557971563018,0.7466127421521495,0.7113921882075762,4
0,nec_any,0.002882680081664267,0.5313223480252195,0.1120218114598572,0.5688798073552334,0.28616592270709384,4
0,rop_any,5.189942995347151e-127,0.6549560958036879,0.5434661364495587,0.7213308756447997,0.7487654057301363,4
0,ivh_any,7.091041325225718e-89,0.6371187797060414,0.43270443042065343,0.7220754933990229,0.7040978392450078,4
0,bpd_any,1.0314401568546664e-137,0.6718943285276485,0.4461380022325916,0.7520128529176093,0.7248137221939597,5
0,nec_any,7.116316596393607e-05,0.5417515525701736,0.11519165620381908,0.5852247702051389,0.3127543866870217,5
0,rop_any,7.016445619109401e-123,0.6523688693697463,0.5434865082199951,0.7218445665798862,0.754620422004354,5
0,ivh_any,1.4298890602778055e-98,0.6445554843899572,0.44285551706318893,0.7277827035179976,0.7163573748916356,5
0,bpd_any,4.328987427983402e-125,0.6636771527715641,0.43497823446023676,0.7404709299585218,0.7103443146434358,6
0,nec_any,0.03707879466657959,0.5219094913107765,0.1095610134464778,0.544333824113674,0.2687709006558158,6
0,rop_any,1.0011928289635654e-117,0.6490593050275618,0.544511520603724,0.7139309229399242,0.746285746100797,6
0,ivh_any,4.6321692716974546e-88,0.6364454659254948,0.43669404794565786,0.7156804509745687,0.7034391952312568,6
0,bpd_any,8.568834564143421e-124,0.6628031048675734,0.43520951050000845,0.7394690328054299,0.7107919893766612,7
0,nec_any,0.33632399189756534,0.5101030600345615,0.10640499573413854,0.5359238175879135,0.27103421130281713,7
0,rop_any,2.2501535442995812e-117,0.6488240241423903,0.5444585692145457,0.7135744642976346,0.7480544708358,7
0,ivh_any,3.4986185496756357e-88,0.6365340022590831,0.4344430742506201,0.7182195851313499,0.7066485508535019,7
0,bpd_any,4.1197868248359255e-130,0.6669911738882428,0.4348072116045347,0.7445643176140648,0.7092888796865708,8
0,nec_any,0.007749108266132714,0.5279842589613504,0.11666470867359482,0.558142189671321,0.3116602485617206,8
0,rop_any,1.5490873676738918e-120,0.6508665372493331,0.5448934706158541,0.7146473306396055,0.7463391557716035,8
0,ivh_any,5.922882700242555e-87,0.6355742392266323,0.43178031917526133,0.7176024359847889,0.7022542529600491,8
0,bpd_any,5.7084064087674814e-127,0.6649232311426271,0.43513511056237514,0.7421943491940046,0.7134250071673489,9
0,nec_any,0.7965697726331984,0.4972908806244233,0.10187417409553418,0.5021473887070185,0.245729575237664,9
0,rop_any,1.9303352438398946e-114,0.6469302766324796,0.5414456939566004,0.7141805966951876,0.7480652338056554,9
0,ivh_any,2.881002872852315e-91,0.6389625861918053,0.4420677847230801,0.7175706977177566,0.7080481105198679,9
