outcome,model,feature_set,mean_auroc,sd_auroc,mean_aupr,sd_aupr
bpd_any,EN,additional_risk_vars,0.7858370819820762,1.8189485566870502e-4,0.753420144184019,4.265688167269944e-4
bpd_any,EN,apgar_only,0.6202267986525326,0.0022007158558546396,0.6260775268565475,0.003893018572226701
bpd_any,EN,bwtga,0.7811923707397036,6.182892187879228e-4,0.7517418480660064,0.0016058677537693841
bpd_any,EN,minimal_vars,0.7846688840107703,2.565310125541973e-4,0.7515303280131171,2.4602011611847676e-4
bpd_any,Lasso,additional_risk_vars,0.7824469900865064,1.5106664126100902e-4,0.7528531429716947,3.939765740603959e-4
bpd_any,Lasso,apgar_only,0.62302239506017,0.002596882960394051,0.6289632346203673,0.0038706221377402595
bpd_any,Lasso,bwtga,0.7790555761132039,2.76259733606485e-4,0.7490314324353249,5.55628482719348e-4
bpd_any,Lasso,minimal_vars,0.7823181289350725,1.414061387286092e-4,0.7493862262844158,2.726120925611683e-4
bpd_any,Logistic Regression,additional_risk_vars,0.7824299867979551,1.2403791679875363e-4,0.7531185619752634,2.789190879484982e-4
bpd_any,Logistic Regression,apgar_only,0.6140055151175086,0.0016724279274226996,0.618234068419837,0.0020227447847802893
bpd_any,Logistic Regression,bwtga,0.779401405710857,1.1964735878800762e-4,0.7485024206853405,6.310175466524996e-4
bpd_any,Logistic Regression,minimal_vars,0.7822528860200403,1.1796801614788937e-4,0.7492397742329022,4.7232404118988065e-4
bpd_any,Neural Network,NBS Metabolites,0.7231484279458393,0.0014785295260824444,0.685653037043882,0.0037245079006885946
bpd_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.8217816765367197,0.015117616061385652,0.7690691787950305,0.010824094719005231
ivh_any,EN,additional_risk_vars,0.7492827345680568,2.2745969023127576e-4,0.7433865727353182,3.2147513932678757e-4
ivh_any,EN,apgar_only,0.64443756189282,8.195231377979228e-4,0.6585751911144619,0.002205868251254349
ivh_any,EN,bwtga,0.7395479968789972,1.8519063677823402e-4,0.7389949027660082,6.865864157013528e-4
ivh_any,EN,minimal_vars,0.7382160082340373,3.150792089593469e-4,0.7399760226929923,7.71092149223554e-4
ivh_any,Lasso,additional_risk_vars,0.7491515525928507,2.1700891333671253e-4,0.7433727823459024,2.9291246954996335e-4
ivh_any,Lasso,apgar_only,0.6453271064189732,0.0016058956876132575,0.6577400256369266,0.0021594661026873604
ivh_any,Lasso,bwtga,0.7383754753712423,3.809314524185703e-4,0.7394278497154438,0.0012788622896194274
ivh_any,Lasso,minimal_vars,0.7380145198836415,2.258278769239266e-4,0.7400571931396968,7.775149723921876e-4
ivh_any,Logistic Regression,additional_risk_vars,0.7491653387886887,2.983514792386227e-4,0.743212930602634,5.945234425929613e-4
ivh_any,Logistic Regression,apgar_only,0.6422856151630532,0.0015060015537190104,0.6551962555161599,0.0013058699502990173
ivh_any,Logistic Regression,bwtga,0.7385265396985132,3.372706183617075e-4,0.7390520294245925,6.991238895139395e-4
ivh_any,Logistic Regression,minimal_vars,0.7381701043925564,2.556162328668655e-4,0.7395378634575887,2.906690823676654e-4
ivh_any,Neural Network,NBS Metabolites,0.7154995519056798,0.0011545935717083503,0.6929083368416089,0.0017079774919960282
ivh_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.8287411131643363,0.014637614307056072,0.7864932021078064,0.016039630916432405
nec_any,EN,additional_risk_vars,0.749452921537157,0.001992445704404384,0.49157584764613466,0.0032292168514407743
nec_any,EN,apgar_only,0.5954554602487231,0.0029819674795020993,0.34542795534067583,0.0042951652698655085
nec_any,EN,bwtga,0.7504530544451847,0.0020466209670336353,0.493411189154936,0.0015003583865971404
nec_any,EN,minimal_vars,0.7522120143809851,6.418389894867584e-4,0.4903155314895196,0.0014652278600383777
nec_any,Lasso,additional_risk_vars,0.7483664404706627,0.0010142416141824195,0.4905099782593802,0.0018644996885225438
nec_any,Lasso,apgar_only,0.598810483667454,0.0032170724040029523,0.35214240794880175,0.006257195028918665
nec_any,Lasso,bwtga,0.7484103926506908,3.184431192772413e-4,0.4848714873060299,0.0012124385831390294
nec_any,Lasso,minimal_vars,0.7503346674607501,1.4991960847536334e-4,0.48738371685609516,6.203752040106887e-4
nec_any,Logistic Regression,additional_risk_vars,0.7484558694876816,2.8802776723531017e-4,0.4921378269862993,8.767174740035648e-4
nec_any,Logistic Regression,apgar_only,0.5879414775671438,0.0018807493119957113,0.3401816469589807,0.0024103302628305026
nec_any,Logistic Regression,bwtga,0.7485507241805127,3.0427082408852326e-4,0.484525490829919,8.960950289981323e-4
nec_any,Logistic Regression,minimal_vars,0.7503314919683174,2.0889861725720282e-4,0.48722799563671015,6.711980640923844e-4
nec_any,Neural Network,NBS Metabolites,0.6608226224963739,0.0035059109159949033,0.37178046716478197,0.005534690347084026
nec_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.850226267880364,0.015166731889821216,0.4630901080491596,0.027948968884808724
rop_any,EN,additional_risk_vars,0.7508505241709864,6.95397083232773e-4,0.7877914484316889,9.892715114211274e-4
rop_any,EN,apgar_only,0.5875203228428754,0.0016464399102176378,0.6728905708277861,0.00286838614188907
rop_any,EN,bwtga,0.7519300709451969,6.53372124227631e-4,0.7877227206204345,0.0010335595011420834
rop_any,EN,minimal_vars,0.7519706532870218,9.982905411373279e-4,0.788439260129757,0.0019963741493522007
rop_any,Lasso,additional_risk_vars,0.7476360865066881,1.7096499985253633e-4,0.7881686686590225,3.128928540135268e-4
rop_any,Lasso,apgar_only,0.5869478389163966,0.0018977080732650478,0.6722035467802204,0.0035137528233577897
rop_any,Lasso,bwtga,0.7515235269897911,1.5026129084288857e-4,0.7825988602017069,3.5918235818703357e-4
rop_any,Lasso,minimal_vars,0.7511017804921822,1.748857144342933e-4,0.7823627167423881,5.107869557831419e-4
rop_any,Logistic Regression,additional_risk_vars,0.7473608518702294,1.724979606431646e-4,0.7883024095046196,4.0924576420703167e-4
rop_any,Logistic Regression,apgar_only,0.5820182641652855,0.0013849590590621086,0.6656097250642852,8.654860524914415e-4
rop_any,Logistic Regression,bwtga,0.751589921981398,1.5016602819558722e-4,0.782250893370215,3.705794436635544e-4
rop_any,Logistic Regression,minimal_vars,0.7507605678782951,8.782860849792712e-5,0.7824634444074423,4.4505321398563357e-4
rop_any,Neural Network,NBS Metabolites,0.6944157133615946,0.0020149046675140784,0.7183554069106919,0.003480944075620017
rop_any,Subgroup-Focused Metabolic Health Index,NBS Metabolites,0.8046970756466263,0.014712690295867359,0.7939894857499425,0.012988379824249666
