,train_loss,test_loss,epoch,fold,iter
0,1.1755112409591675,1.1580921411514282,0,0,0
0,1.1563884019851685,1.1541600227355957,1,0,0
0,1.1529453992843628,1.1480553150177002,2,0,0
0,1.1486643552780151,1.1448482275009155,3,0,0
0,1.1431570053100586,1.1413395404815674,4,0,0
0,1.1408196687698364,1.137656569480896,5,0,0
0,1.1359968185424805,1.1357873678207397,6,0,0
0,1.132804036140442,1.132906436920166,7,0,0
0,1.129043698310852,1.1290661096572876,8,0,0
0,1.124362587928772,1.1276377439498901,9,0,0
0,1.1209183931350708,1.129294991493225,10,0,0
0,1.1174535751342773,1.1295359134674072,11,0,0
0,1.1138917207717896,1.1291834115982056,12,0,0
0,1.112026572227478,1.1313656568527222,13,0,0
0,1.1068147420883179,1.132403016090393,14,0,0
0,1.1753184795379639,1.1590274572372437,0,1,0
0,1.1556940078735352,1.1554592847824097,1,1,0
0,1.1533700227737427,1.1479990482330322,2,1,0
0,1.1475352048873901,1.1450793743133545,3,1,0
0,1.1432490348815918,1.1399270296096802,4,1,0
0,1.1400337219238281,1.1368056535720825,5,1,0
0,1.1351732015609741,1.1354353427886963,6,1,0
0,1.1314890384674072,1.1327446699142456,7,1,0
0,1.1272356510162354,1.1297156810760498,8,1,0
0,1.1240030527114868,1.1290411949157715,9,1,0
0,1.1210891008377075,1.1284908056259155,10,1,0
0,1.1186304092407227,1.1257100105285645,11,1,0
0,1.1152156591415405,1.1267155408859253,12,1,0
0,1.112348198890686,1.1259397268295288,13,1,0
0,1.1083680391311646,1.1241005659103394,14,1,0
0,1.1053181886672974,1.1265223026275635,15,1,0
0,1.1002821922302246,1.1305240392684937,16,1,0
0,1.0972503423690796,1.1291120052337646,17,1,0
0,1.0925850868225098,1.1344044208526611,18,1,0
0,1.0895904302597046,1.1407369375228882,19,1,0
0,1.1757781505584717,1.159485101699829,0,2,0
0,1.1555818319320679,1.1564481258392334,1,2,0
0,1.1526603698730469,1.1490384340286255,2,2,0
0,1.146927833557129,1.1462067365646362,3,2,0
0,1.142103672027588,1.1433433294296265,4,2,0
0,1.1385329961776733,1.139757513999939,5,2,0
0,1.13386869430542,1.1371370553970337,6,2,0
0,1.1299526691436768,1.1353131532669067,7,2,0
0,1.1255003213882446,1.133524775505066,8,2,0
0,1.121320128440857,1.1346375942230225,9,2,0
0,1.1188795566558838,1.1352721452713013,10,2,0
0,1.116015076637268,1.1356046199798584,11,2,0
0,1.1133285760879517,1.1349672079086304,12,2,0
0,1.1095085144042969,1.1372097730636597,13,2,0
