,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,healthy_infant,9.426901079950099e-167,0.6624748771268185,0.48417144977529003,0.6624748771268185,0.48417144977529003,0
0,healthy_infant,5.336739170892691e-177,0.6674530180815411,0.49233278864154295,0.6674530180815411,0.49233278864154295,1
0,healthy_infant,2.1771400107101317e-180,0.6690674400251176,0.4998641544525221,0.6690674400251176,0.4998641544525221,2
0,healthy_infant,5.2503733265456315e-185,0.671242491425452,0.5002355277808397,0.671242491425452,0.5002355277808397,3
0,healthy_infant,7.723788589989366e-181,0.6692806539463395,0.49059113761861933,0.6692806539463395,0.49059113761861933,4
0,healthy_infant,2.884192111413788e-188,0.6727616598572914,0.498598868705198,0.6727616598572914,0.498598868705198,5
0,healthy_infant,1.9846385239750775e-192,0.6746820668695815,0.49744529972080537,0.6746820668695815,0.49744529972080537,6
0,healthy_infant,3.866759800083824e-179,0.6684740972410965,0.5000879414960431,0.6684740972410965,0.5000879414960431,7
0,healthy_infant,6.304926473047237e-173,0.6654924891355192,0.4942652742376474,0.6654924891355192,0.4942652742376474,8
0,healthy_infant,3.669173662313436e-180,0.6689599478803574,0.4962716699767199,0.6689599478803574,0.4962716699767199,9
