,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter,n_features
0,nec_any,3.20245698223468e-08,0.5500548128942222,0.11864616794016397,0.5832491008901342,0.17803147412599452,0,17
0,rop_any,5.620364222067213e-84,0.608788940411701,0.5145680579805616,0.6174504450834275,0.546504409940227,0,17
0,bpd_any,8.486114073046971e-107,0.6314627767681916,0.4198551232275099,0.6413946658968438,0.4654746878780963,0,17
0,ivh_any,1.0551391442088876e-70,0.6061931082769889,0.40085260555477575,0.6294228577807385,0.48198606638070796,0,17
0,nec_any,4.1179125026795005e-08,0.5496540761683887,0.11868287033487118,0.5858054770904948,0.1789293487733224,1,17
0,rop_any,5.560834836964062e-86,0.610109451787649,0.5128271243324091,0.6185907651762979,0.5446508998033364,1,17
0,bpd_any,2.642319239346451e-102,0.6286151111437854,0.41734626662143354,0.6388563252284472,0.463820898273807,1,17
0,ivh_any,1.471032867119919e-65,0.6021489436036678,0.3984050899050814,0.626038532730816,0.48067781060345516,1,17
0,nec_any,1.3001010235971966e-08,0.5514673894947442,0.11922812875323495,0.5866068351951733,0.18032065728401322,2,17
0,rop_any,4.383485723652736e-83,0.6081961603466957,0.5130589297975309,0.6166875159573095,0.54502614989286,2,17
0,bpd_any,4.582501165627738e-104,0.6297385074392277,0.41736846365846836,0.639418629773328,0.46253038831648463,2,17
0,ivh_any,2.6180038959793424e-61,0.598683473740366,0.3959018042752457,0.6220279215396739,0.4766192572858131,2,17
0,nec_any,1.0656912466922533e-09,0.555207433055523,0.12092838162592395,0.5927585546976556,0.18384241568148255,3,17
0,rop_any,2.1629631866677047e-86,0.6103776554712893,0.5138131413238428,0.618486630284798,0.5447758131279548,3,17
0,bpd_any,1.3786931120205284e-96,0.6248981710438098,0.4115032660806266,0.6353255193485435,0.4574796283411163,3,17
0,ivh_any,2.3685915487351804e-68,0.6043640654146794,0.3998846267619865,0.6281710119902232,0.4812311051318324,3,17
0,nec_any,2.3190487642467388e-08,0.550564849679845,0.12084959979201085,0.58705393988602,0.18142983047179712,4,17
0,rop_any,4.180115799165134e-85,0.6095343185265438,0.5142293036455435,0.6175551537208859,0.5460644004574381,4,17
0,bpd_any,1.4315490436420586e-103,0.6294238804241472,0.4153338731129905,0.6391468107398413,0.4617353691735943,4,17
0,ivh_any,1.635855174125323e-67,0.6037034261112868,0.40077743514320685,0.6272048278344409,0.482069095528797,4,17
