,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,bpd_any,1.0395421539516924e-74,0.6258560825093952,0.41189311718831034,0.6831742552790347,0.6589224881530684,0
0,nec_any,0.10243406382723327,0.5171667793767737,0.11059867069791522,0.5303731009227749,0.2646958361820946,0
0,rop_any,1.0911565848312807e-57,0.6034827367468044,0.5093573660247819,0.6552354481322133,0.6977825875354291,0
0,ivh_any,1.0371459114418304e-66,0.6183745368254184,0.41365625204610706,0.6685760582819407,0.6536467605841814,0
0,bpd_any,1.0338788729854076e-89,0.6382501076525591,0.4108543187715882,0.6995246070182881,0.6554638275392975,1
0,nec_any,7.89131497849732e-07,0.5519182923203894,0.11639571810452556,0.6184598575838147,0.3099512954594682,1
0,rop_any,2.0316943846607393e-66,0.6113067896865144,0.5136983690824998,0.666557373043786,0.698802521347419,1
0,ivh_any,2.1098710954455647e-70,0.6217284279087085,0.4029425199156492,0.6830784080784081,0.645109685681691,1
0,bpd_any,4.4861082999884686e-79,0.6295869077711166,0.4142272683457841,0.6895493819523002,0.6605376037046902,2
0,nec_any,3.0131165625327547e-05,0.543863175202711,0.1138579689893995,0.590285830110902,0.28671335326381764,2
0,rop_any,1.6768571324839148e-59,0.6051626009517175,0.5121859122320089,0.6615184134667195,0.7016043965058754,2
0,ivh_any,9.869298750103708e-71,0.6220016436011399,0.4167601317920413,0.6744627060803532,0.6592433339244693,2
0,bpd_any,3.2523680052721583e-74,0.6254078214477452,0.4068437504070171,0.6820040005184765,0.6508009911368233,3
0,nec_any,0.00027468817145750193,0.538234002489461,0.11282873185640271,0.5932801744517373,0.29121333985041686,3
0,rop_any,1.9185015050646365e-58,0.6041627111461721,0.5055714801870197,0.6566350500503711,0.6935311445552949,3
0,ivh_any,1.207874900462335e-75,0.6262424957729025,0.4179469048210782,0.6793368594839183,0.6529385782621762,3
0,bpd_any,3.7838743144048233e-84,0.6337569065408017,0.4077600178038156,0.6957886294541855,0.6572182098361536,4
0,nec_any,0.03508341150480378,0.5221501859594462,0.10867113977028126,0.5537435933390501,0.2708443488872112,4
0,rop_any,3.071558659209324e-68,0.6128286386199683,0.5108082751585842,0.6671925195168741,0.700580849038694,4
0,ivh_any,1.9828039542407205e-70,0.6217145344079493,0.4171436928542962,0.6784840027487087,0.6557878390440317,4
0,bpd_any,1.7118835573493015e-75,0.6265432413766105,0.4053909193954564,0.6855527667797888,0.6532670422481358,5
0,nec_any,0.08907623162159228,0.5178743498920706,0.10973331941328578,0.513708366816058,0.25333627650434526,5
0,rop_any,3.702198753718131e-61,0.6066593216029784,0.5073866928143089,0.6603451976905668,0.6979555410414473,5
0,ivh_any,4.489736948397535e-72,0.6231845709895368,0.4191666935667523,0.673882463588346,0.6533532487989866,5
0,bpd_any,3.635518284123613e-78,0.6288220153677523,0.41023696722580294,0.6922476698010936,0.6640512160094582,6
0,nec_any,0.0002057902140584103,0.5390202553678902,0.11448647862839949,0.593051862718132,0.2924071927522541,6
0,rop_any,7.43480499402879e-63,0.6081749424223184,0.5079300950794925,0.6674631357627495,0.7047375554776889,6
0,ivh_any,5.595916674398401e-79,0.6291025771054559,0.43126952605109503,0.6792481961599609,0.6662986260204451,6
0,bpd_any,1.3682060541550802e-87,0.6365492321716177,0.42112865528778054,0.6910489135558069,0.6582994084365246,7
0,nec_any,0.05479437433671469,0.5201893236268378,0.106369856015326,0.5458254907353975,0.2621876687725553,7
0,rop_any,7.570487059132295e-58,0.6036407828505116,0.5097160789699953,0.6556359187274297,0.6961938898168656,7
0,ivh_any,4.6082910929604015e-70,0.621408912124997,0.4179950147163464,0.6761386467268821,0.6584328911927726,7
0,bpd_any,9.562941943777129e-76,0.6267560998456513,0.41057182857996555,0.6860021622831826,0.6514530740365025,8
0,nec_any,0.0008125318370918437,0.535199064748002,0.1105662503129731,0.5671396045353138,0.27196561243487255,8
0,rop_any,5.210682100039203e-60,0.605617808262512,0.5092121241500486,0.6598264892837711,0.6946895471690835,8
0,ivh_any,2.8479707846185538e-67,0.6188924170662206,0.410549895157703,0.6713971971324912,0.6440352443425972,8
0,bpd_any,5.674003618669884e-77,0.6277973237853437,0.41342859696122225,0.6887626084087481,0.65939743173206,9
0,nec_any,0.16494203888463277,0.5145965160264967,0.10445661730919036,0.5360431419290005,0.2547231101928142,9
0,rop_any,1.3605847857023351e-67,0.6122834936414964,0.5126771614255854,0.6677749279992808,0.7028620424506551,9
0,ivh_any,3.0733969483269354e-75,0.6259162416413225,0.42137274670947794,0.6824936523465936,0.6653388071333202,9
