,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,bpd_any,6.673503202096793e-84,0.6335191272033822,0.41651583187362445,0.6586830700741674,0.5533297043110877,0
0,nec_any,5.632095776441876e-10,0.4348472526646414,0.08984086872553274,0.3875260320500696,0.1538264103042447,0
0,rop_any,9.048406313925942e-71,0.6149270814249457,0.5148855926648304,0.6343992617792574,0.6025646564286239,0
0,bpd_any,3.058887607391298e-71,0.6227159831894239,0.4135687015825669,0.6448763950111952,0.5457452937014272,1
0,nec_any,0.0016187146977005322,0.4668917661719979,0.09542171910676478,0.4300818247837459,0.16508406357062866,1
0,rop_any,3.2528685668828806e-62,0.60749965452466,0.5157942781503344,0.623634932420305,0.5973253929937707,1
0,bpd_any,1.028388693692111e-58,0.6111091499082856,0.40555155211291916,0.6333198314616569,0.5410826222215076,2
0,nec_any,3.3419296915676385e-05,0.45642114127422373,0.09238361347463836,0.4125973606178239,0.15884357060180618,2
0,rop_any,2.0515233383966738e-60,0.6059031607185814,0.5157306535461785,0.6203806454752042,0.5980693366277607,2
0,bpd_any,2.8353124799501606e-70,0.6219169775076057,0.4093878342951148,0.6457689397914917,0.5430863965702432,3
0,nec_any,3.7242766431237787e-07,0.4465964455792824,0.09156593362194976,0.39744514797279423,0.1555973666901337,3
0,rop_any,1.2673428103386603e-62,0.6079158590416215,0.515635201581322,0.6245851940853285,0.5974823134554219,3
0,bpd_any,8.948077687452626e-62,0.6140498822812276,0.40377033390447886,0.6382987969668347,0.5401482983617936,4
0,nec_any,0.00019328453321617022,0.46084830839442154,0.09444548168708125,0.4285159821692758,0.1647434300272048,4
0,rop_any,2.7252048767071004e-62,0.6075775059510864,0.5172231479184987,0.6227413423774766,0.5980310432270924,4
0,bpd_any,3.035233044534122e-79,0.6296862766754653,0.4175582857093394,0.6521084785194513,0.5508298076961478,5
0,nec_any,2.7813210398169575e-06,0.4507512820333023,0.09111298899216205,0.406002407808264,0.1566360438403871,5
0,rop_any,1.247643041025876e-66,0.6114342502001167,0.51840880232101,0.6275840134535192,0.6004396920783404,5
0,bpd_any,1.2507452886434433e-79,0.6299736880368646,0.4125931514294229,0.651514396165687,0.5465858346646343,6
0,nec_any,2.5819685777987394e-05,0.455795106886525,0.0931280592177148,0.4177348855657265,0.16130676105937186,6
0,rop_any,1.6074296976068943e-63,0.6086975798596849,0.5131830395969663,0.6251973690442275,0.5963576465598968,6
0,bpd_any,2.289142975196118e-85,0.6346691221702757,0.4221049021931865,0.6552752413937869,0.5524763274739789,7
0,nec_any,2.0534089119750947e-05,0.45525941452820506,0.0936252161355305,0.4170522062068614,0.16208908537011169,7
0,rop_any,1.180833305517568e-61,0.6070282294513704,0.5107717278382409,0.6246852194985031,0.5955726656025895,7
0,bpd_any,5.69926671268129e-68,0.6197994726422691,0.41033111254184884,0.6428679506017353,0.5444941235660619,8
0,nec_any,0.00013231617512504137,0.45985609525767945,0.09356520069191326,0.4190507070810178,0.16144922461471825,8
0,rop_any,7.385637980380581e-63,0.6080806265754122,0.5127464723242385,0.622949570109314,0.596639609783417,8
0,bpd_any,1.4499303323291187e-82,0.6324001697275412,0.42197443150802055,0.653812556849986,0.5549798113912747,9
0,nec_any,1.6897524880638916e-05,0.4548002030575721,0.09289686339864892,0.4075717530532096,0.15881412536410988,9
0,rop_any,8.211618615454792e-67,0.611556191741311,0.517234888373685,0.6288926016897374,0.6017932597919795,9
