,train_loss,test_loss,epoch,fold,iter
0,1.1741195917129517,1.1589250564575195,0,0,0
0,1.1555951833724976,1.1554867029190063,1,0,0
0,1.1484652757644653,1.1440526247024536,2,0,0
0,1.1390085220336914,1.1382012367248535,3,0,0
0,1.1309562921524048,1.1365512609481812,4,0,0
0,1.1246933937072754,1.1340402364730835,5,0,0
0,1.116434931755066,1.1304740905761719,6,0,0
0,1.1104079484939575,1.128806710243225,7,0,0
0,1.1042674779891968,1.129814863204956,8,0,0
0,1.0996240377426147,1.129311203956604,9,0,0
0,1.0949798822402954,1.129764437675476,10,0,0
0,1.0899111032485962,1.128417730331421,11,0,0
0,1.0856503248214722,1.1301151514053345,12,0,0
0,1.080600619316101,1.1296381950378418,13,0,0
0,1.0752744674682617,1.1293326616287231,14,0,0
0,1.0677669048309326,1.1405664682388306,15,0,0
0,1.0621551275253296,1.1331570148468018,16,0,0
0,1.1746577024459839,1.1581923961639404,0,1,0
0,1.1568034887313843,1.1499305963516235,1,1,0
0,1.1489008665084839,1.140798568725586,2,1,0
0,1.1419926881790161,1.130670428276062,3,1,0
0,1.1331135034561157,1.1237961053848267,4,1,0
0,1.1273317337036133,1.1228179931640625,5,1,0
0,1.121176838874817,1.1143255233764648,6,1,0
0,1.1148490905761719,1.109196662902832,7,1,0
0,1.1103709936141968,1.1065958738327026,8,1,0
0,1.1045820713043213,1.1051936149597168,9,1,0
0,1.1001462936401367,1.1067794561386108,10,1,0
0,1.0952510833740234,1.108156681060791,11,1,0
0,1.0897531509399414,1.109984278678894,12,1,0
0,1.0837045907974243,1.111476182937622,13,1,0
0,1.078452467918396,1.110087513923645,14,1,0
0,1.1741993427276611,1.1599870920181274,0,2,0
0,1.156182885169983,1.1558387279510498,1,2,0
0,1.1486376523971558,1.1460676193237305,2,2,0
0,1.1394916772842407,1.1374461650848389,3,2,0
0,1.1315730810165405,1.1303704977035522,4,2,0
0,1.124469518661499,1.1241103410720825,5,2,0
0,1.1174240112304688,1.1215591430664062,6,2,0
0,1.1134607791900635,1.1197117567062378,7,2,0
0,1.1067179441452026,1.119006872177124,8,2,0
0,1.103151798248291,1.1182104349136353,9,2,0
0,1.098366618156433,1.1178218126296997,10,2,0
0,1.0925143957138062,1.117431640625,11,2,0
0,1.0886131525039673,1.1192681789398193,12,2,0
0,1.0841180086135864,1.1231902837753296,13,2,0
0,1.0766524076461792,1.127943515777588,14,2,0
0,1.0711818933486938,1.1354058980941772,15,2,0
0,1.0644878149032593,1.1361541748046875,16,2,0
0,1.17428719997406,1.1604641675949097,0,3,0
0,1.155011773109436,1.1556951999664307,1,3,0
0,1.148083209991455,1.1471315622329712,2,3,0
0,1.1381746530532837,1.1413679122924805,3,3,0
0,1.1288663148880005,1.1393725872039795,4,3,0
0,1.1227638721466064,1.1339858770370483,5,3,0
0,1.1162279844284058,1.1290369033813477,6,3,0
0,1.109383463859558,1.1249475479125977,7,3,0
0,1.105823278427124,1.1222491264343262,8,3,0
0,1.1007750034332275,1.122347354888916,9,3,0
0,1.0974334478378296,1.1176198720932007,10,3,0
0,1.0917924642562866,1.1214805841445923,11,3,0
0,1.0860384702682495,1.1210836172103882,12,3,0
0,1.0831443071365356,1.12260901927948,13,3,0
0,1.075695276260376,1.1309795379638672,14,3,0
0,1.0694457292556763,1.1260093450546265,15,3,0
0,1.1741563081741333,1.1597644090652466,0,4,0
0,1.155465006828308,1.154129981994629,1,4,0
0,1.1488595008850098,1.146314024925232,2,4,0
0,1.1395338773727417,1.1402316093444824,3,4,0
0,1.1304532289505005,1.1357791423797607,4,4,0
0,1.1249535083770752,1.1321030855178833,5,4,0
0,1.1180514097213745,1.1265816688537598,6,4,0
0,1.1112943887710571,1.124082088470459,7,4,0
0,1.1066608428955078,1.1238676309585571,8,4,0
0,1.1015015840530396,1.1237475872039795,9,4,0
0,1.0968674421310425,1.1217011213302612,10,4,0
0,1.0922602415084839,1.1270884275436401,11,4,0
0,1.0872191190719604,1.1241971254348755,12,4,0
0,1.0814827680587769,1.131711721420288,13,4,0
0,1.075297474861145,1.1339603662490845,14,4,0
0,1.0707178115844727,1.1343493461608887,15,4,0
0,1.1744595766067505,1.1583818197250366,0,0,1
0,1.1557416915893555,1.1506683826446533,1,0,1
0,1.1498825550079346,1.1413806676864624,2,0,1
0,1.1402344703674316,1.1330959796905518,3,0,1
0,1.1309373378753662,1.127210021018982,4,0,1
0,1.1246649026870728,1.1253836154937744,5,0,1
0,1.1172324419021606,1.1222182512283325,6,0,1
0,1.1102274656295776,1.124131441116333,7,0,1
0,1.1054836511611938,1.1243788003921509,8,0,1
0,1.0999765396118164,1.1241071224212646,9,0,1
0,1.0966668128967285,1.1231878995895386,10,0,1
0,1.0905853509902954,1.1251490116119385,11,0,1
0,1.1742933988571167,1.159604549407959,0,1,1
0,1.1555161476135254,1.1567960977554321,1,1,1
0,1.148725986480713,1.1463156938552856,2,1,1
0,1.1397711038589478,1.1396313905715942,3,1,1
0,1.1330294609069824,1.1344143152236938,4,1,1
0,1.1267093420028687,1.1303513050079346,5,1,1
0,1.1199947595596313,1.1261340379714966,6,1,1
0,1.1129857301712036,1.123840093612671,7,1,1
0,1.1084637641906738,1.1211512088775635,8,1,1
0,1.1036204099655151,1.1212224960327148,9,1,1
0,1.099026083946228,1.1194217205047607,10,1,1
0,1.0931099653244019,1.120397686958313,11,1,1
0,1.0884041786193848,1.1239302158355713,12,1,1
0,1.0833503007888794,1.1293896436691284,13,1,1
0,1.0780751705169678,1.1261017322540283,14,1,1
0,1.0719741582870483,1.1287815570831299,15,1,1
0,1.1739801168441772,1.1600139141082764,0,2,1
0,1.1552090644836426,1.155825138092041,1,2,1
0,1.1486550569534302,1.1457003355026245,2,2,1
0,1.1404894590377808,1.1392278671264648,3,2,1
0,1.130964756011963,1.1343252658843994,4,2,1
0,1.1250168085098267,1.1308307647705078,5,2,1
0,1.119040846824646,1.1265647411346436,6,2,1
0,1.1122528314590454,1.1225582361221313,7,2,1
0,1.1063424348831177,1.1213842630386353,8,2,1
0,1.102189540863037,1.124550700187683,9,2,1
0,1.097457766532898,1.1248447895050049,10,2,1
0,1.0916619300842285,1.1269818544387817,11,2,1
0,1.087009310722351,1.1319602727890015,12,2,1
0,1.0805472135543823,1.1352347135543823,13,2,1
0,1.1741584539413452,1.159414529800415,0,3,1
0,1.1561959981918335,1.1534502506256104,1,3,1
0,1.149186134338379,1.1449248790740967,2,3,1
0,1.1398476362228394,1.1377599239349365,3,3,1
0,1.1311756372451782,1.1355440616607666,4,3,1
0,1.1262339353561401,1.1318973302841187,5,3,1
0,1.1186531782150269,1.1265552043914795,6,3,1
0,1.112795352935791,1.1204217672348022,7,3,1
0,1.1085195541381836,1.1150965690612793,8,3,1
0,1.1050584316253662,1.1153439283370972,9,3,1
0,1.1015253067016602,1.115817904472351,10,3,1
0,1.0954861640930176,1.116624355316162,11,3,1
0,1.0910123586654663,1.1199694871902466,12,3,1
0,1.0863336324691772,1.1231039762496948,13,3,1
0,1.1736780405044556,1.160217523574829,0,4,1
0,1.155880331993103,1.1558620929718018,1,4,1
0,1.1491509675979614,1.146446704864502,2,4,1
0,1.1397218704223633,1.1391111612319946,3,4,1
0,1.131510615348816,1.1324458122253418,4,4,1
0,1.1246973276138306,1.128035068511963,5,4,1
0,1.1195050477981567,1.1224499940872192,6,4,1
0,1.1126981973648071,1.1202930212020874,7,4,1
0,1.1076722145080566,1.1183276176452637,8,4,1
0,1.1028181314468384,1.115640640258789,9,4,1
0,1.0981265306472778,1.1143224239349365,10,4,1
0,1.093112826347351,1.1154685020446777,11,4,1
0,1.0873475074768066,1.1184555292129517,12,4,1
0,1.0813623666763306,1.117346167564392,13,4,1
0,1.0751018524169922,1.1245962381362915,14,4,1
0,1.068320631980896,1.1317119598388672,15,4,1
0,1.1745036840438843,1.1593245267868042,0,0,2
0,1.156077265739441,1.1558985710144043,1,0,2
0,1.150339961051941,1.1460243463516235,2,0,2
0,1.1432853937149048,1.1373828649520874,3,0,2
0,1.1336256265640259,1.1299028396606445,4,0,2
0,1.1286011934280396,1.1244723796844482,5,0,2
0,1.1209386587142944,1.1200613975524902,6,0,2
0,1.1142631769180298,1.1188973188400269,7,0,2
0,1.1090803146362305,1.1156593561172485,8,0,2
0,1.1043920516967773,1.1139106750488281,9,0,2
0,1.099429965019226,1.112296462059021,10,0,2
0,1.0939897298812866,1.112292766571045,11,0,2
0,1.0874314308166504,1.115159273147583,12,0,2
0,1.0815566778182983,1.1226187944412231,13,0,2
0,1.0766078233718872,1.1285066604614258,14,0,2
0,1.0695606470108032,1.1343278884887695,15,0,2
0,1.0640934705734253,1.126220941543579,16,0,2
0,1.1746968030929565,1.159348964691162,0,1,2
0,1.1549921035766602,1.1565192937850952,1,1,2
0,1.1480990648269653,1.1463603973388672,2,1,2
0,1.139175295829773,1.1412492990493774,3,1,2
0,1.1307852268218994,1.1424897909164429,4,1,2
0,1.1246123313903809,1.138632893562317,5,1,2
0,1.1175040006637573,1.1344525814056396,6,1,2
0,1.1111713647842407,1.127226710319519,7,1,2
0,1.1053236722946167,1.125598669052124,8,1,2
0,1.1009336709976196,1.1231598854064941,9,1,2
0,1.0963586568832397,1.122545599937439,10,1,2
0,1.091636300086975,1.1231220960617065,11,1,2
0,1.0867547988891602,1.125747561454773,12,1,2
0,1.0824365615844727,1.1250057220458984,13,1,2
0,1.0759116411209106,1.1276934146881104,14,1,2
0,1.0709894895553589,1.1293349266052246,15,1,2
0,1.1735975742340088,1.159368634223938,0,2,2
0,1.1554495096206665,1.1537275314331055,1,2,2
0,1.1496458053588867,1.145555019378662,2,2,2
0,1.1405969858169556,1.1358163356781006,3,2,2
0,1.1323184967041016,1.1314393281936646,4,2,2
0,1.1258115768432617,1.1276370286941528,5,2,2
0,1.1189688444137573,1.1204291582107544,6,2,2
0,1.1142667531967163,1.1149946451187134,7,2,2
0,1.1094717979431152,1.1150481700897217,8,2,2
0,1.104680061340332,1.1151822805404663,9,2,2
0,1.1009455919265747,1.111736536026001,10,2,2
0,1.095351219177246,1.1138966083526611,11,2,2
0,1.0917474031448364,1.1147873401641846,12,2,2
0,1.0880271196365356,1.1142607927322388,13,2,2
0,1.0804400444030762,1.1174949407577515,14,2,2
0,1.0766749382019043,1.1129236221313477,15,2,2
0,1.1739994287490845,1.1599220037460327,0,3,2
0,1.1549291610717773,1.1545602083206177,1,3,2
0,1.1482776403427124,1.1467725038528442,2,3,2
0,1.1387914419174194,1.1424829959869385,3,3,2
0,1.1287707090377808,1.1389312744140625,4,3,2
0,1.1232472658157349,1.1349849700927734,5,3,2
0,1.116465449333191,1.1304688453674316,6,3,2
0,1.11040198802948,1.130696177482605,7,3,2
0,1.107206106185913,1.1267505884170532,8,3,2
0,1.1011158227920532,1.1249972581863403,9,3,2
0,1.0985846519470215,1.1256078481674194,10,3,2
0,1.092249870300293,1.1239968538284302,11,3,2
0,1.0865581035614014,1.1305981874465942,12,3,2
0,1.0824435949325562,1.1307878494262695,13,3,2
0,1.0759345293045044,1.135420560836792,14,3,2
0,1.0721168518066406,1.1295849084854126,15,3,2
0,1.0662024021148682,1.1351819038391113,16,3,2
