,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,healthy_infant,6.642105673817817e-181,0.6693116738778385,0.4811346952702244,0.6693116738778385,0.4811346952702244,0
0,healthy_infant,5.390728487189138e-179,0.668405437740111,0.4773418431029679,0.668405437740111,0.4773418431029679,1
0,healthy_infant,1.8475012010204137e-185,0.671454666217455,0.48218639618207937,0.671454666217455,0.48218639618207937,2
0,healthy_infant,3.883820772487855e-185,0.6713037615631029,0.48149694519168074,0.6713037615631029,0.48149694519168074,3
0,healthy_infant,1.1454392276041243e-185,0.671551690097491,0.48144039772804337,0.671551690097491,0.48144039772804337,4
0,healthy_infant,3.998821315515463e-190,0.6736215585291072,0.48271882643662556,0.6736215585291072,0.48271882643662556,5
0,healthy_infant,3.5972532265209917e-182,0.669910058362885,0.4812148483165879,0.669910058362885,0.4812148483165879,6
0,healthy_infant,1.2711203651085094e-183,0.670593497498816,0.480964287476795,0.670593497498816,0.480964287476795,7
0,healthy_infant,1.4853853424121177e-184,0.6710309708999944,0.4788246029028086,0.6710309708999944,0.4788246029028086,8
0,healthy_infant,2.3391346370880098e-184,0.670938526885775,0.4783189502481516,0.670938526885775,0.4783189502481516,9
