,task,pval,auroc,aupr,auroc_strict,aupr_strict,iter
0,nec_any,0.3658839260513439,0.4996402507965875,0.10455591348366314,0.49970700263697626,0.1426777191660387,0
0,rop_any,2.6347831912849954e-56,0.571008017334778,0.4685815576020232,0.5764374965933833,0.4970888576525805,0
0,bpd_any,3.90596986689933e-53,0.5495775014313291,0.34442601171482756,0.551162367123786,0.38090075508733534,0
0,ivh_any,9.672478806371259e-78,0.5640021170406164,0.359622230070226,0.5722252718182058,0.4253042436711502,0
0,nec_any,0.5540271790961557,0.49984582176996606,0.10455591348366314,0.4997802519777322,0.1426777191660387,1
0,rop_any,1.6513004215565349e-46,0.5639657638136512,0.4635656541320989,0.5695717655788762,0.49210296758793554,1
0,bpd_any,6.08113706779277e-45,0.5460191225728702,0.3407388830351076,0.5494935193130588,0.37919620101410517,1
0,ivh_any,1.0145063768089742e-82,0.5668891876378762,0.36204172469673546,0.5753687272182153,0.42820148055723123,1
0,nec_any,0.2797291092250811,0.4994860725665536,0.10455591348366314,0.4993407559331966,0.1426777191660387,2
0,rop_any,2.6177532408501864e-52,0.5684045937161429,0.4666300981641801,0.5735005866552427,0.49482341943339947,2
0,bpd_any,2.6786793254695975e-46,0.5460224696687753,0.34114095881394746,0.5491964959139819,0.37932533500630883,2
0,ivh_any,1.4757521690823872e-77,0.5644817455095245,0.3597252008150567,0.5736730950680318,0.42669749663942425,2
0,nec_any,0.3237803230500925,0.5004691397433837,0.10472394884724823,0.5004407856456052,0.14286666684356328,3
0,rop_any,3.968390005043694e-58,0.5719479089924161,0.4693962805862154,0.5758434782774999,0.4966995470344474,3
0,bpd_any,1.8166352321187883e-47,0.5461832887146304,0.34154379921242006,0.5488570571022344,0.3791925876604677,3
0,ivh_any,6.883330080473286e-81,0.5660065751047783,0.3612116730463613,0.5756782127777604,0.4290314200526464,3
0,nec_any,0.009738623028204992,0.5007774962034516,0.10525211786133273,0.500733783008629,0.1433068076886337,4
0,rop_any,2.4411833745345054e-60,0.5730427735644638,0.47036762262324006,0.5780135767418688,0.4985712850188857,4
0,bpd_any,3.411107979450239e-47,0.5473556239093715,0.34188148947125535,0.5495854655779983,0.37898935831499236,4
0,ivh_any,2.8550601827901066e-69,0.5600961684339014,0.35581379994052736,0.5688187261359929,0.4218175703281578,4
0,nec_any,0.9488156400830652,0.5000289988983133,0.10456168390410983,0.4999273954597788,0.14266215779353336,5
0,rop_any,4.4012432443331675e-56,0.5706295124593717,0.468407816197753,0.5749968204911456,0.4960723375432854,5
0,bpd_any,3.760483412495445e-40,0.5428249632037309,0.33817167108881724,0.5453991613761371,0.37550763910525825,5
0,ivh_any,2.171032343337079e-65,0.5577436974852833,0.35387026259239807,0.5658147321339101,0.41886755189907343,5
0,nec_any,0.06698874668050153,0.5006747107167624,0.10495869063128578,0.500733783008629,0.1433068076886337,6
0,rop_any,5.915095038638617e-60,0.5729828819068256,0.47023553399374585,0.5772836762581054,0.49788313766225,6
0,bpd_any,1.4209491201960342e-46,0.5462679167667165,0.34131022739497235,0.5484752259798931,0.3783912043680598,6
0,ivh_any,4.488719126018034e-81,0.5651669346659451,0.3609929368568878,0.5735412743610278,0.4270719432933415,6
0,nec_any,0.22674102243676653,0.5007037096150756,0.10480796652904079,0.5008076771499197,0.1430931829358467,7
0,rop_any,1.2513511079209488e-49,0.5667629902491874,0.4653404954119627,0.5728468031353304,0.49426399773785945,7
0,bpd_any,1.3658775943568056e-48,0.5476649431037268,0.34240488824419735,0.5499390197585593,0.37959754399645085,7
0,ivh_any,6.425714001760098e-75,0.5615981623311942,0.3579890785668669,0.5693449067003999,0.4230277509666386,7
0,nec_any,0.3237803230500925,0.5004691397433837,0.10472394884724823,0.5004407856456052,0.14286666684356328,8
0,rop_any,4.217882459640437e-55,0.5697993499458287,0.4678750710360353,0.5744588380305595,0.49577090683162917,8
0,bpd_any,2.0755188993636483e-46,0.5465072044159801,0.3413471512505106,0.5489702341755858,0.3787079214904679,8
0,ivh_any,1.3720278883327739e-76,0.5631338285389401,0.35899434835224914,0.5709245506572297,0.4240627025141426,8
0,nec_any,0.8824217445694524,0.49992621341162397,0.10454390043562213,0.5000006448005347,0.14267787710942875,9
0,rop_any,1.1421613305930182e-58,0.5725430985915493,0.4697247993216099,0.5773243165968449,0.49773564250136826,9
0,bpd_any,3.806681348527798e-48,0.5469498925087082,0.3420185678386253,0.5497127118160099,0.3797757302352936,9
0,ivh_any,4.681348604079836e-81,0.56480692269602,0.36086949442770405,0.5731076087854018,0.426889672389011,9
