,train_loss,test_loss,epoch,fold,iter
0,1.182111144065857,1.1574103832244873,0,0,0
0,1.156235694885254,1.1537423133850098,1,0,0
0,1.1511236429214478,1.1485729217529297,2,0,0
0,1.148786187171936,1.147046446800232,3,0,0
0,1.1459821462631226,1.1470211744308472,4,0,0
0,1.1448698043823242,1.1453759670257568,5,0,0
0,1.1430349349975586,1.1447187662124634,6,0,0
0,1.1422327756881714,1.1442257165908813,7,0,0
0,1.1412187814712524,1.1445058584213257,8,0,0
0,1.1399651765823364,1.1448866128921509,9,0,0
0,1.139351487159729,1.1452665328979492,10,0,0
0,1.1381572484970093,1.1458971500396729,11,0,0
0,1.1386632919311523,1.146893858909607,12,0,0
0,1.1817474365234375,1.160790205001831,0,1,0
0,1.1547001600265503,1.1596357822418213,1,1,0
0,1.1498048305511475,1.1526997089385986,2,1,0
0,1.1482367515563965,1.1509240865707397,3,1,0
0,1.1453267335891724,1.1490811109542847,4,1,0
0,1.1436606645584106,1.1476597785949707,5,1,0
0,1.14242684841156,1.1477817296981812,6,1,0
0,1.1409616470336914,1.1469531059265137,7,1,0
0,1.1398954391479492,1.1475657224655151,8,1,0
0,1.139863133430481,1.1469749212265015,9,1,0
0,1.1390300989151,1.1468455791473389,10,1,0
0,1.1375917196273804,1.1485826969146729,11,1,0
0,1.1382145881652832,1.1464800834655762,12,1,0
0,1.1378613710403442,1.1465084552764893,13,1,0
0,1.1363383531570435,1.14809250831604,14,1,0
0,1.1360472440719604,1.1464368104934692,15,1,0
0,1.1358922719955444,1.1472316980361938,16,1,0
0,1.1350352764129639,1.1473686695098877,17,1,0
0,1.1350194215774536,1.1481186151504517,18,1,0
0,1.1352812051773071,1.1475718021392822,19,1,0
0,1.1346651315689087,1.1478267908096313,20,1,0
0,1.1811487674713135,1.160999059677124,0,2,0
0,1.1563957929611206,1.1564666032791138,1,2,0
0,1.15081787109375,1.1513270139694214,2,2,0
0,1.1488542556762695,1.1487010717391968,3,2,0
0,1.146145224571228,1.147208333015442,4,2,0
0,1.1448662281036377,1.1439443826675415,5,2,0
0,1.1434937715530396,1.1438270807266235,6,2,0
0,1.1427799463272095,1.1429778337478638,7,2,0
0,1.1415828466415405,1.1429755687713623,8,2,0
0,1.1406168937683105,1.143004298210144,9,2,0
0,1.140341877937317,1.1424098014831543,10,2,0
0,1.1391894817352295,1.141772985458374,11,2,0
0,1.1384806632995605,1.1417192220687866,12,2,0
0,1.138526201248169,1.1411255598068237,13,2,0
0,1.138082504272461,1.1405508518218994,14,2,0
0,1.1374777555465698,1.1409063339233398,15,2,0
0,1.137880802154541,1.1410523653030396,16,2,0
0,1.1369463205337524,1.140408992767334,17,2,0
0,1.1366630792617798,1.1413655281066895,18,2,0
0,1.1361294984817505,1.1415036916732788,19,2,0
0,1.1356502771377563,1.1413928270339966,20,2,0
0,1.1353727579116821,1.1415553092956543,21,2,0
0,1.135228157043457,1.1406843662261963,22,2,0
0,1.1818915605545044,1.1580837965011597,0,3,0
0,1.1568697690963745,1.1525156497955322,1,3,0
0,1.151779294013977,1.1506389379501343,2,3,0
0,1.1495285034179688,1.1484451293945312,3,3,0
0,1.1457055807113647,1.148554801940918,4,3,0
0,1.1441740989685059,1.1473089456558228,5,3,0
0,1.1432069540023804,1.1471134424209595,6,3,0
0,1.1418973207473755,1.1453354358673096,7,3,0
0,1.1418843269348145,1.143747091293335,8,3,0
0,1.1399427652359009,1.142310380935669,9,3,0
0,1.1401863098144531,1.1421895027160645,10,3,0
0,1.1401270627975464,1.142362356185913,11,3,0
0,1.1394764184951782,1.1420159339904785,12,3,0
