,train_loss,test_loss,epoch,fold,iter
0,1.1711946725845337,1.158125638961792,0,0,0
0,1.1563397645950317,1.1501787900924683,1,0,0
0,1.1493263244628906,1.1459522247314453,2,0,0
0,1.1440776586532593,1.1433138847351074,3,0,0
0,1.1393940448760986,1.1401571035385132,4,0,0
0,1.1358410120010376,1.138074517250061,5,0,0
0,1.1313481330871582,1.1355172395706177,6,0,0
0,1.1274089813232422,1.13242769241333,7,0,0
0,1.1222883462905884,1.1326277256011963,8,0,0
0,1.1191757917404175,1.1311689615249634,9,0,0
0,1.1133027076721191,1.1312440633773804,10,0,0
0,1.1100773811340332,1.1295892000198364,11,0,0
0,1.1048997640609741,1.1298999786376953,12,0,0
0,1.0989974737167358,1.127758502960205,13,0,0
0,1.0925058126449585,1.139309287071228,14,0,0
0,1.089361548423767,1.1322500705718994,15,0,0
0,1.0860090255737305,1.1409003734588623,16,0,0
0,1.0786147117614746,1.1448878049850464,17,0,0
0,1.0760154724121094,1.164171576499939,18,0,0
0,1.1711182594299316,1.1583045721054077,0,1,0
0,1.1558358669281006,1.150815486907959,1,1,0
0,1.150456428527832,1.1455347537994385,2,1,0
0,1.1452902555465698,1.142533540725708,3,1,0
0,1.1401342153549194,1.1391769647598267,4,1,0
0,1.1359111070632935,1.1382311582565308,5,1,0
0,1.131712555885315,1.1357805728912354,6,1,0
0,1.1274075508117676,1.133410096168518,7,1,0
0,1.1233769655227661,1.1322579383850098,8,1,0
0,1.1202276945114136,1.1306101083755493,9,1,0
0,1.1158888339996338,1.1298853158950806,10,1,0
0,1.1110625267028809,1.130010724067688,11,1,0
0,1.107134222984314,1.1311864852905273,12,1,0
0,1.1022933721542358,1.1363917589187622,13,1,0
0,1.0977531671524048,1.1355849504470825,14,1,0
0,1.0948877334594727,1.1413400173187256,15,1,0
0,1.1706572771072388,1.1602890491485596,0,2,0
0,1.154550552368164,1.1578136682510376,1,2,0
0,1.1493927240371704,1.150339961051941,2,2,0
0,1.1444851160049438,1.148048996925354,3,2,0
0,1.139945149421692,1.1431249380111694,4,2,0
0,1.1355186700820923,1.1388345956802368,5,2,0
0,1.1317124366760254,1.1366896629333496,6,2,0
0,1.1269325017929077,1.133828043937683,7,2,0
0,1.1231703758239746,1.132936954498291,8,2,0
0,1.118267297744751,1.1317464113235474,9,2,0
0,1.113101840019226,1.130139708518982,10,2,0
0,1.1087638139724731,1.1321009397506714,11,2,0
0,1.1030901670455933,1.1316360235214233,12,2,0
0,1.0988913774490356,1.1378364562988281,13,2,0
0,1.0953441858291626,1.1324819326400757,14,2,0
0,1.0886521339416504,1.1399483680725098,15,2,0
0,1.170235276222229,1.1597564220428467,0,3,0
0,1.1559163331985474,1.155103087425232,1,3,0
0,1.1494847536087036,1.148720622062683,2,3,0
0,1.1446086168289185,1.1459109783172607,3,3,0
0,1.1397154331207275,1.1443681716918945,4,3,0
0,1.1358176469802856,1.1416068077087402,5,3,0
0,1.1315064430236816,1.1393734216690063,6,3,0
0,1.127224326133728,1.1366007328033447,7,3,0
0,1.1232128143310547,1.1337019205093384,8,3,0
0,1.1195721626281738,1.131571888923645,9,3,0
0,1.115230679512024,1.132794976234436,10,3,0
0,1.1110073328018188,1.1324876546859741,11,3,0
0,1.1055437326431274,1.133183479309082,12,3,0
0,1.1010031700134277,1.1347707509994507,13,3,0
0,1.0968842506408691,1.135970115661621,14,3,0
0,1.1704107522964478,1.1598714590072632,0,4,0
0,1.155684471130371,1.1555180549621582,1,4,0
0,1.1502118110656738,1.149327039718628,2,4,0
0,1.1450772285461426,1.1447011232376099,3,4,0
0,1.139612078666687,1.1407625675201416,4,4,0
0,1.1359909772872925,1.139770269393921,5,4,0
0,1.1312912702560425,1.1364822387695312,6,4,0
0,1.1274091005325317,1.1363667249679565,7,4,0
0,1.1230734586715698,1.1344958543777466,8,4,0
0,1.117630958557129,1.1337398290634155,9,4,0
0,1.112850308418274,1.134981632232666,10,4,0
0,1.1073986291885376,1.1354929208755493,11,4,0
0,1.1022905111312866,1.1399399042129517,12,4,0
0,1.0972036123275757,1.1407722234725952,13,4,0
0,1.091572642326355,1.1411978006362915,14,4,0
0,1.1706962585449219,1.1578775644302368,0,0,1
0,1.1560207605361938,1.150508999824524,1,0,1
0,1.1510690450668335,1.1450194120407104,2,0,1
0,1.1445120573043823,1.14162015914917,3,0,1
0,1.1404513120651245,1.1405823230743408,4,0,1
0,1.1355316638946533,1.1401029825210571,5,0,1
0,1.1315573453903198,1.1363996267318726,6,0,1
0,1.1277302503585815,1.1332612037658691,7,0,1
0,1.123090386390686,1.132216215133667,8,0,1
0,1.1202584505081177,1.1337172985076904,9,0,1
0,1.1142973899841309,1.1344877481460571,10,0,1
0,1.1093958616256714,1.1382532119750977,11,0,1
0,1.1057153940200806,1.134029746055603,12,0,1
0,1.1019566059112549,1.138091802597046,13,0,1
0,1.170528531074524,1.1599055528640747,0,1,1
0,1.155216932296753,1.1562583446502686,1,1,1
0,1.1504462957382202,1.1480122804641724,2,1,1
0,1.1453973054885864,1.1438251733779907,3,1,1
0,1.1418544054031372,1.1392289400100708,4,1,1
